2024-05-12 15:20:32 - DEBUG - Looking up time zone info from registry
2024-05-12 15:20:32 - DEBUG - Looking up time zone info from registry
2024-05-12 15:20:32 - DEBUG - Looking up time zone info from registry
2024-05-12 15:20:32 - DEBUG - Looking up time zone info from registry
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 11, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 5, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 7, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 1, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 15, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 6, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 9, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect UDP length for packet 5, probably truncated, recalculating length
2024-05-12 15:20:32 - ERROR - Error while recalculating checksum for packet 13: While dissecting field 'options': object of type 'int' has no len()
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 3, probably truncated, recalculating length
2024-05-12 15:20:32 - ERROR - Error while recalculating checksum for packet 14: While dissecting field 'options': object of type 'int' has no len()
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 17, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 10, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect UDP length for packet 15, probably truncated, recalculating length
2024-05-12 15:20:32 - ERROR - Error while recalculating checksum for packet 16: While dissecting field 'options': object of type 'int' has no len()
2024-05-12 15:20:32 - WARNING - Incorrect UDP length for packet 6, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect UDP length for packet 9, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 20, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect UDP length for packet 10, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 21, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 23, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 26, probably truncated, recalculating length
2024-05-12 15:20:32 - ERROR - Error while recalculating checksum for packet 25: While dissecting field 'options': object of type 'int' has no len()
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 24, probably truncated, recalculating length
2024-05-12 15:20:32 - WARNING - Incorrect IP length for packet 27, probably truncated, recalculating length
