2024-05-12 18:05:24 - DEBUG - Looking up time zone info from registry
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 1, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 1, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 5, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 5, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 6, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 6, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 7, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 8, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 8, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 9, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 11, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 11, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 12, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 14, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 14, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 15, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 15, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 16, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 16, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 17, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 17, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 18, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 18, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 19, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 19, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 21, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 22, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Inconsistent linktypes detected! The resulting file might contain invalid packets.
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 23, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 23, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 24, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 25, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 25, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 26, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 26, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 27, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 28, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 30, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 31, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 31, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect IP length for packet 32, probably truncated, recalculating length
2024-05-12 18:05:24 - WARNING - Incorrect UDP length for packet 32, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 33, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 34, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 35, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 35, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 36, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 37, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 38, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 39, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 39, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 40, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 40, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 42, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 42, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 43, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 44, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 44, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 46, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 47, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 48, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 49, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 51, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 52, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 53, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 54, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 55, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 55, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 56, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 57, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 58, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 58, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 60, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 60, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 61, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 62, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 63, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 64, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 65, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 65, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 66, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 67, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 68, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 69, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 70, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 71, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 73, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 77, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 78, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect UDP length for packet 78, probably truncated, recalculating length
2024-05-12 18:05:25 - WARNING - Incorrect IP length for packet 79, probably truncated, recalculating length
